"Serial No.","Date","Time","Note/comment","Label","Duration(Minutes)","Distractions","Points of Distractions","Longest focused(Seconds)"
"649","05 May 20","02:22","","Optimisation","24","0","","1440"
"650","05 May 20","13:51","","Graph Theory","61","0","","3660"
"651","05 May 20","15:05","","Complex Analysis","52","0","","3120"
"652","05 May 20","16:11","","Complex Analysis","52","0","","3120"
"653","05 May 20","17:13","","Complex Analysis","52","0","","3120"
"654","05 May 20","18:15","","Complex Analysis","53","0","","3180"
"655","05 May 20","20:39","","Complex Analysis","56","0","","3360"
"656","05 May 20","22:51","","Optimisation","55","0","","3300"
"657","05 May 20","23:59","","Optimisation","55","0","","3300"
"658","06 May 20","01:04","","Optimisation","55","0","","3300"
"659","06 May 20","02:09","","Optimisation","55","0","","3300"
"660","06 May 20","03:28","","Optimisation","55","0","","3300"
"661","06 May 20","05:26","","Graph Theory","87","0","","5220"
"662","06 May 20","15:17","","Graph Theory","73","0","","4380"
"663","06 May 20","17:07","","Optimisation","55","0","","3300"
"664","06 May 20","18:10","","Optimisation","55","0","","3300"
"665","06 May 20","20:56","","Optimisation","55","0","","3300"
"666","06 May 20","22:16","","Optimisation","37","0","","2220"
"667","06 May 20","23:25","","Graph Theory","32","0","","1920"
"668","07 May 20","00:38","","Complex Analysis","46","0","","2760"
"669","07 May 20","01:34","","Complex Analysis","26","0","","1560"
"670","07 May 20","03:36","","Optimisation","55","0","","3300"
"671","07 May 20","13:53","","Optimisation","65","0","","3900"
"672","07 May 20","15:12","","Optimisation","55","0","","3300"
"673","07 May 20","16:13","","Optimisation","18","0","","1080"
"674","07 May 20","16:56","","Optimisation","61","0","","3660"
"675","07 May 20","18:00","","Optimisation","41","0","","2460"
"676","07 May 20","21:38","","Optimisation","73","0","","4380"
"677","07 May 20","23:34","","Optimisation","34","0","","2040"
"678","08 May 20","00:32","","Optimisation","139","0","","8340"
"679","08 May 20","03:13","","Optimisation","38","0","","2280"
"680","08 May 20","04:29","","Optimisation","71","0","","4260"
"681","08 May 20","05:42","","Optimisation","29","0","","1740"
"682","08 May 20","06:12","","Complex Analysis","16","0","","960"
"683","08 May 20","14:07","","Complex Analysis","19","0","","1140"
"684","08 May 20","14:30","","Graph Theory","60","-1","","0"
"685","08 May 20","15:41","","Complex Analysis","15","0","","900"
"686","08 May 20","16:03","","Optimisation","45","0","","2700"
"687","08 May 20","16:56","","Complex Analysis","11","0","","660"
"688","08 May 20","17:10","","Graph Theory","60","0","","3600"
"689","08 May 20","21:23","","Complex Analysis","37","0","","2220"
"690","08 May 20","22:07","","Optimisation","49","0","","2940"
"691","08 May 20","23:41","","Complex Analysis","16","0","","960"
"692","08 May 20","23:56","","Graph Theory","35","0","","2100"
"693","09 May 20","00:53","","Graph Theory","22","0","","1320"
"694","09 May 20","02:27","","Complex Analysis","21","0","","1260"
"695","09 May 20","03:10","","Optimisation","31","0","","1860"
"696","09 May 20","04:38","","Optimisation","45","0","","2700"
"697","09 May 20","05:37","","Optimisation","17","0","","1020"
"698","09 May 20","05:54","","Complex Analysis","8","0","","480"
"699","09 May 20","18:56","","Complex Analysis","12","0","","720"
"700","09 May 20","20:35","","Optimisation","80","0","","4800"
"701","09 May 20","22:10","","Optimisation","61","0","","3660"
"702","09 May 20","23:44","","Optimisation","35","0","","2100"
"703","10 May 20","01:36","","Optimisation","23","0","","1380"
"704","10 May 20","02:06","","Optimisation","51","0","","3060"
"705","10 May 20","03:30","","Optimisation","53","0","","3180"
"706","10 May 20","13:49","","Optimisation","36","0","","2160"
"707","10 May 20","15:28","","Graph Theory","57","0","","3420"
"708","10 May 20","17:05","","Optimisation","34","0","","2040"
"709","10 May 20","18:16","","Optimisation","53","0","","3180"
"710","10 May 20","22:12","","Optimisation","36","0","","2160"
"711","11 May 20","01:13","","Optimisation","48","0","","2880"
"712","11 May 20","02:28","","Optimisation","30","0","","1800"
"713","11 May 20","05:44","","Optimisation","12","0","","720"
"714","11 May 20","15:49","","Optimisation","18","0","","1080"
"715","11 May 20","16:48","","Optimisation","21","0","","1260"
"716","11 May 20","20:32","","Optimisation","52","0","","3120"
"717","11 May 20","22:09","","Optimisation","88","0","","5280"
"718","12 May 20","00:36","","Optimisation","180","0","","10800"
"719","12 May 20","06:02","","Optimisation","15","0","","900"
"720","14 May 20","20:50","","Complex Analysis","34","0","","2040"
"721","15 May 20","16:25","","Graph Theory","72","0","","4320"
"722","15 May 20","17:58","","Graph Theory","63","0","","3780"
"723","15 May 20","21:28","","Nonlinear Optimisation","52","0","","3120"
"724","15 May 20","22:24","","Nonlinear Optimisation","28","0","","1680"
"725","15 May 20","23:23","","Nonlinear Optimisation","56","0","","3360"
"726","16 May 20","01:21","","Nonlinear Optimisation","44","0","","2640"
"727","16 May 20","21:02","","Nonlinear Optimisation","47","0","","2820"
"728","17 May 20","00:20","","Nonlinear Optimisation","73","0","","4380"
"729","22 May 20","22:37","","Python","43","0","","2580"
"730","23 May 20","00:12","","Python","13","0","","780"
"731","23 May 20","00:40","","Linear Algebra","10","0","","600"
"732","23 May 20","00:54","","WebDev","107","0","","6420"
"733","23 May 20","03:05","","WebDev","58","0","","3480"
"734","23 May 20","14:34","","WebDev","13","0","","780"
"735","23 May 20","17:11","","WebDev","50","0","","3000"
"736","23 May 20","21:37","","WebDev","30","0","","1800"
"737","24 May 20","00:37","","WebDev","33","0","","1980"
"738","24 May 20","01:30","","WebDev","42","0","","2520"
"739","24 May 20","02:12","","JavaScript","34","0","","2040"
"740","26 May 20","16:00","","WebDev","240","-1","","0"
"741","26 May 20","21:05","","WebDev","129","0","","7740"
"742","29 May 20","13:14","","edabit","41","0","","2460"
"743","29 May 20","14:50","","freeCodeCamp","99","0","","5940"
"744","29 May 20","18:32","","AlgoExpert","51","0","","3060"
"745","29 May 20","19:52","","Python","35","0","","2100"
"746","29 May 20","20:27","","edabit","11","0","","660"
"747","29 May 20","21:24","","DSA","109","0","","6540"
"748","29 May 20","23:20","","DSA","38","0","","2280"
